city,district,lat,lng,category,season,hotel_budget,hotel_mid,hotel_luxury,food_budget,food_mid,food_luxury,local_transport_urban,local_transport_rural,flight_base_rate,bus_available,bus_km_rate,train_available,train_km_rate,flight_available
Tiruchirappalli,Tiruchirappalli,10.79,78.7,Tier-Y,shoulder,1536,3956,8307,284,1204,1896,391,0,4256,1,1.04,1,0.73,1
Tiruchirappalli,Tiruchirappalli,10.79,78.7,Tier-Y,offpeak,1611,3174,3214,333,599,1437,424,0,2864,1,1.2,1,0.72,1
Tirunelveli,Tirunelveli,8.71,77.75,Tier-Y,peak,1906,4822,6327,275,658,2269,424,0,2901,1,0.86,1,0.71,1
Tirunelveli,Tirunelveli,8.71,77.75,Tier-Y,shoulder,1639,3711,9477,317,1124,2062,511,0,3754,1,1.03,1,0.73,1
Tirunelveli,Tirunelveli,8.71,77.75,Tier-Y,offpeak,1245,2657,5210,274,594,1725,508,0,1662,1,1.18,1,0.72,1
Vadodara,Vadodara,22.3,73.19,Tier-Y,peak,1362,3368,11754,267,1214,2459,457,0,0,1,1.23,1,0.72,0
Vadodara,Vadodara,22.3,73.19,Tier-Y,shoulder,1142,5614,9611,206,1163,1890,335,0,0,1,1.14,1,0.72,0
Vadodara,Vadodara,22.3,73.19,Tier-Y,offpeak,1426,2630,5284,215,942,1949,530,0,0,1,1.22,1,0.72,0
Visakhapatnam,Visakhapatnam,17.68,83.28,Tier-Y,peak,2406,7533,10003,232,877,2616,416,0,2987,1,0.88,1,0.72,1
Visakhapatnam,Visakhapatnam,17.68,83.28,Tier-Y,shoulder,1218,5227,5912,251,708,2881,277,0,3956,1,1.2,1,0.72,1
Visakhapatnam,Visakhapatnam,17.68,83.28,Tier-Y,offpeak,955,3400,3890,291,700,1575,513,0,3144,1,1.14,1,0.71,1
Guwahati,Kamrup Metropolitan,26.1,91.74,Tier-Y,peak,2065,3305,11722,345,1037,1812,313,0,3429,1,0.98,1,0.73,1
Guwahati,Kamrup Metropolitan,26.1,91.74,Tier-Y,shoulder,1188,4826,6859,394,1175,1619,384,0,3510,1,1.13,1,0.71,1
Guwahati,Kamrup Metropolitan,26.1,91.74,Tier-Y,offpeak,1055,2627,6399,260,954,2042,362,0,2251,1,1.07,1,0.72,1
Panaji,North Goa,15.5,73.83,Tier-Y,peak,1742,6350,10358,409,1441,2593,283,0,4080,1,0.9,1,0.72,1
Panaji,North Goa,15.5,73.83,Tier-Y,shoulder,1628,2925,11801,408,712,1824,547,0,3497,1,1.04,1,0.72,1
Panaji,North Goa,15.5,73.83,Tier-Y,offpeak,870,2715,6024,227,1032,1403,464,0,3024,1,1.09,1,0.71,1
Raipur,Raipur,21.25,81.63,Tier-Y,peak,2106,4635,14203,423,764,2406,619,0,3927,1,1.11,1,0.72,1
Raipur,Raipur,21.25,81.63,Tier-Y,shoulder,1138,3856,7126,209,1301,1748,549,0,2118,1,1.14,1,0.71,1
Raipur,Raipur,21.25,81.63,Tier-Y,offpeak,1419,3765,4641,271,536,1877,294,0,2268,1,1.21,1,0.72,1
Ranchi,Ranchi,23.34,85.3,Tier-Y,peak,3010,5236,11199,295,1213,2692,406,0,5558,1,1.19,1,0.73,1
Ranchi,Ranchi,23.34,85.3,Tier-Y,shoulder,1897,4851,6659,387,887,2692,416,0,2576,1,1.18,1,0.72,1
Ranchi,Ranchi,23.34,85.3,Tier-Y,offpeak,1311,2674,6256,361,887,1656,411,0,4030,1,0.93,1,0.73,1
Udaipur,Udaipur,24.57,73.69,Tier-Y,peak,1587,5031,13335,491,1029,2292,350,0,4456,1,1.01,1,0.72,1
Udaipur,Udaipur,24.57,73.69,Tier-Y,shoulder,1527,5742,9338,450,1225,2398,414,0,2435,1,1.07,1,0.73,1
Udaipur,Udaipur,24.57,73.69,Tier-Y,offpeak,876,3212,4364,313,1150,1544,341,0,2098,1,0.87,1,0.71,1
Jamshedpur,East Singhbhum,22.81,86.2,Tier-Y,peak,1620,5967,12813,379,869,2923,505,0,3192,1,0.85,1,0.72,1
Jamshedpur,East Singhbhum,22.81,86.2,Tier-Y,shoulder,1771,4251,6738,308,1036,1956,395,0,2673,1,1.2,1,0.72,1
Jamshedpur,East Singhbhum,22.81,86.2,Tier-Y,offpeak,1495,2993,6203,273,996,1773,298,0,2793,1,1.0,1,0.71,1
Ludhiana,Ludhiana,30.91,75.85,Tier-Y,peak,1818,3368,10458,258,718,2483,461,0,4148,1,1.25,1,0.72,1
Ludhiana,Ludhiana,30.91,75.85,Tier-Y,shoulder,1761,5455,8131,335,649,1818,320,0,3580,1,0.99,1,0.72,1
Ludhiana,Ludhiana,30.91,75.85,Tier-Y,offpeak,1284,3025,5145,371,599,1682,320,0,2827,1,1.03,1,0.72,1
Surat,Surat,21.17,72.83,Tier-Y,peak,2168,5452,8521,237,1055,1908,487,0,4129,1,1.02,1,0.72,1
Surat,Surat,21.17,72.83,Tier-Y,shoulder,1402,4667,6056,261,1128,2418,442,0,3791,1,0.98,1,0.72,1
Surat,Surat,21.17,72.83,Tier-Y,offpeak,1513,4058,6908,242,656,2118,320,0,1993,1,1.21,1,0.73,1
Shimla,Shimla,31.1,77.17,Tier-Y,peak,2192,7047,8568,278,1186,2170,376,0,3328,1,0.87,1,0.73,1
Shimla,Shimla,31.1,77.17,Tier-Y,shoulder,2259,5745,15484,260,1089,2670,455,0,3239,1,1.16,1,0.72,1
Shimla,Shimla,31.1,77.17,Tier-Y,offpeak,1356,1488,4277,334,696,1977,410,0,3331,1,0.96,1,0.72,1
Chandigarh,Chandigarh,30.73,76.78,Tier-Y,peak,1530,3333,6952,338,938,2000,384,0,3523,1,1.07,1,0.72,1
Chandigarh,Chandigarh,30.73,76.78,Tier-Y,shoulder,2083,3055,7401,291,997,2493,261,0,2991,1,1.06,1,0.72,1
Chandigarh,Chandigarh,30.73,76.78,Tier-Y,offpeak,1024,3736,6066,239,585,1751,283,0,3195,1,1.12,1,0.72,1
Srinagar,Srinagar,34.08,74.79,Tier-Y,peak,2336,5686,12917,471,1569,3176,486,0,0,1,1.07,1,0.73,0
Srinagar,Srinagar,34.08,74.79,Tier-Y,shoulder,2051,4577,8637,206,1153,2445,408,0,0,1,0.91,1,0.72,0
Srinagar,Srinagar,34.08,74.79,Tier-Y,offpeak,717,1916,3677,259,834,1290,378,0,0,1,1.15,1,0.72,0
Jammu,Jammu,32.73,74.86,Tier-Y,peak,1325,4029,9804,440,990,2848,348,0,3213,1,1.17,1,0.72,1
Jammu,Jammu,32.73,74.86,Tier-Y,shoulder,2075,3260,8866,292,1267,1722,282,0,4189,1,1.11,1,0.72,1
Jammu,Jammu,32.73,74.86,Tier-Y,offpeak,838,3105,8102,362,712,2024,473,0,3586,1,1.16,1,0.72,1
Coimbatore,Coimbatore,11.01,76.96,Tier-Y,peak,1651,4004,9098,256,968,2901,368,0,3312,1,1.1,1,0.71,1
Coimbatore,Coimbatore,11.01,76.96,Tier-Y,shoulder,1952,5782,7553,263,889,2488,362,0,2132,1,1.19,1,0.71,1
Coimbatore,Coimbatore,11.01,76.96,Tier-Y,offpeak,1330,3201,8208,320,578,1272,497,0,2264,1,0.87,1,0.72,1
Madurai,Madurai,9.92,78.11,Tier-Y,peak,1944,4739,10246,260,1170,3425,466,0,4959,1,1.04,1,0.73,1
Madurai,Madurai,9.92,78.11,Tier-Y,shoulder,1857,3308,8516,453,864,3001,458,0,3227,1,1.17,1,0.71,1
Madurai,Madurai,9.92,78.11,Tier-Y,offpeak,1514,1849,6081,270,679,1734,440,0,2657,1,1.17,1,0.73,1
Hosur,Krishnagiri,12.73,77.82,Tier-Y,peak,1970,7142,13067,302,755,2930,513,0,3692,1,1.06,1,0.73,1
Hosur,Krishnagiri,12.73,77.82,Tier-Y,shoulder,1856,5520,9666,311,855,2649,535,0,3698,1,1.08,1,0.72,1
Hosur,Krishnagiri,12.73,77.82,Tier-Y,offpeak,1314,2535,6012,250,965,1998,454,0,3545,1,0.95,1,0.72,1
Tiruppur,Tiruppur,11.1,77.34,Tier-Y,peak,1089,3614,6824,314,1099,1996,422,0,4072,1,0.87,1,0.71,1
Tiruppur,Tiruppur,11.1,77.34,Tier-Y,shoulder,1873,4502,7305,336,800,1835,515,0,2752,1,1.1,1,0.72,1
Tiruppur,Tiruppur,11.1,77.34,Tier-Y,offpeak,922,3123,7432,306,718,1432,332,0,2643,1,1.25,1,0.72,1
Salem,Salem,11.66,78.16,Tier-Y,peak,2000,3782,12224,407,760,2840,541,0,3463,1,0.92,1,0.71,1
Salem,Salem,11.66,78.16,Tier-Y,shoulder,1791,3315,6323,294,1064,1610,337,0,2109,1,1.19,1,0.73,1
Salem,Salem,11.66,78.16,Tier-Y,offpeak,1152,3655,4930,211,649,1756,290,0,2586,1,0.92,1,0.72,1
Thoothukudi,Thoothukudi,8.76,78.13,Tier-Y,peak,1909,6777,14099,470,1243,2499,597,0,4350,1,0.86,1,0.71,1
Thoothukudi,Thoothukudi,8.76,78.13,Tier-Y,shoulder,1614,4043,11814,361,1290,2044,508,0,4513,1,0.85,1,0.73,1
Thoothukudi,Thoothukudi,8.76,78.13,Tier-Y,offpeak,1578,4022,5395,246,722,1931,340,0,1703,1,1.07,1,0.72,1
Manali,Kullu,32.24,77.19,Tier-Z,peak,2475,7413,9348,209,1120,2045,277,0,0,1,1.23,0,0.72,0
Manali,Kullu,32.24,77.19,Tier-Z,shoulder,1466,4343,9125,168,594,2187,367,0,0,1,1.02,0,0.73,0
Manali,Kullu,32.24,77.19,Tier-Z,offpeak,1320,2133,4141,177,569,1595,324,0,0,1,0.98,0,0.71,0
Munnar,Idukki,10.09,77.06,Tier-Z,peak,2277,5066,10513,397,958,2086,425,0,0,1,0.92,1,0.71,1
Munnar,Idukki,10.09,77.06,Tier-Z,shoulder,1643,5203,8718,281,816,1848,363,0,0,1,0.95,1,0.72,1
Munnar,Idukki,10.09,77.06,Tier-Z,offpeak,1348,2573,2980,232,780,1392,226,0,2048,1,1.13,1,0.72,1
Puri,Puri,19.82,85.83,Tier-Z,peak,2190,5149,10093,251,773,2091,341,0,0,1,1.13,1,0.73,0
Puri,Puri,19.82,85.83,Tier-Z,shoulder,1224,2469,10723,298,687,2032,227,0,0,1,1.01,1,0.71,0
Puri,Puri,19.82,85.83,Tier-Z,offpeak,607,2459,3954,179,735,1147,198,0,0,1,1.07,1,0.73,0
Shirdi,Ahmednagar,19.77,74.48,Tier-Z,peak,2051,5394,10512,263,965,2361,330,0,0,1,0.91,1,0.71,0
Shirdi,Ahmednagar,19.77,74.48,Tier-Z,shoulder,1925,3202,7219,175,888,1574,230,0,0,1,0.86,1,0.72,0
Shirdi,Ahmednagar,19.77,74.48,Tier-Z,offpeak,1481,2381,3092,231,602,1389,190,0,0,1,1.01,1,0.71,0
Haridwar,Haridwar,29.95,78.16,Tier-Z,peak,1616,5238,10740,336,1272,1991,205,0,0,1,0.91,1,0.72,0
Haridwar,Haridwar,29.95,78.16,Tier-Z,shoulder,1863,4717,7947,180,918,1508,362,0,0,1,0.97,1,0.71,0
Haridwar,Haridwar,29.95,78.16,Tier-Z,offpeak,1116,2150,3173,252,719,978,366,0,0,1,1.0,1,0.72,0
Darjeeling,Darjeeling,27.04,88.26,Tier-Z,peak,1901,7821,12750,213,1087,1753,270,0,0,1,0.94,0,0.71,0
Darjeeling,Darjeeling,27.04,88.26,Tier-Z,shoulder,1802,2901,10653,287,889,2009,246,0,0,1,1.21,0,0.73,0
Darjeeling,Darjeeling,27.04,88.26,Tier-Z,offpeak,735,2167,4544,201,738,1316,275,0,0,1,0.85,0,0.72,0
Leh,Leh,34.1,77.35,Rural,peak,880,2830,5314,220,640,1906,0,0,0,1,0.89,0,0.73,0
Leh,Leh,34.1,77.35,Rural,shoulder,958,2769,8403,211,505,871,0,0,0,1,1.0,0,0.72,0
Leh,Leh,34.1,77.35,Rural,offpeak,429,1501,2361,114,414,1088,0,0,0,1,1.01,0,0.72,0
Mawlynnong,East Khasi Hills,25.2,91.92,Rural,peak,1022,2575,6717,111,493,1349,0,0,0,1,0.95,1,0.73,0
Mawlynnong,East Khasi Hills,25.2,91.92,Rural,shoulder,1125,2338,3732,153,458,948,0,0,0,1,1.16,1,0.73,0
Mawlynnong,East Khasi Hills,25.2,91.92,Rural,offpeak,814,2503,2627,152,324,971,0,0,0,1,0.87,1,0.72,0
Hodka Village,Kutch,23.73,70.0,Rural,peak,625,3058,4092,272,547,1540,0,0,0,1,0.97,1,0.73,0
Hodka Village,Kutch,23.73,70.0,Rural,shoulder,1093,2682,6208,180,302,949,0,0,0,1,0.88,1,0.73,0
Hodka Village,Kutch,23.73,70.0,Rural,offpeak,634,1931,4356,245,321,1256,0,0,0,1,0.95,1,0.71,0
Itanagar,Papum Pare,27.1,93.62,Tier-Z,peak,1194,3851,6736,185,1065,2034,367,0,0,1,1.06,1,0.71,0
Itanagar,Papum Pare,27.1,93.62,Tier-Z,shoulder,956,2314,7657,149,779,1818,217,0,0,1,1.17,1,0.72,0
Itanagar,Papum Pare,27.1,93.62,Tier-Z,offpeak,1416,2357,5817,263,765,1652,334,0,0,1,1.24,1,0.72,0
Shillong,East Khasi Hills,25.57,91.88,Tier-Z,peak,2468,5457,8507,236,721,2274,339,0,0,1,0.96,1,0.72,0
Shillong,East Khasi Hills,25.57,91.88,Tier-Z,shoulder,1261,4796,10784,370,1178,1633,224,0,0,1,1.22,1,0.73,0
Shillong,East Khasi Hills,25.57,91.88,Tier-Z,offpeak,1069,1809,4557,206,740,1185,216,0,0,1,1.11,1,0.71,0
Kohima,Kohima,25.67,94.11,Tier-Z,peak,2080,3251,8587,310,587,1838,399,0,0,1,1.04,1,0.71,0
Kohima,Kohima,25.67,94.11,Tier-Z,shoulder,1774,2713,11390,192,637,1623,386,0,0,1,0.9,1,0.72,0
Kohima,Kohima,25.67,94.11,Tier-Z,offpeak,785,2219,5961,223,514,1181,256,0,0,1,1.14,1,0.72,0
Imphal,Imphal West,24.81,93.95,Tier-Z,peak,1038,4872,8016,320,909,1435,209,0,0,1,1.02,1,0.71,0
Imphal,Imphal West,24.81,93.95,Tier-Z,shoulder,1141,2790,8558,303,711,2020,315,0,0,1,1.04,1,0.72,0
Imphal,Imphal West,24.81,93.95,Tier-Z,offpeak,1407,3679,6062,150,652,1370,281,0,0,1,0.88,1,0.72,0
Aizawl,Aizawl,23.73,92.72,Tier-Z,peak,2310,3438,11177,221,1068,1649,422,0,3760,1,1.17,0,0.73,1
Aizawl,Aizawl,23.73,92.72,Tier-Z,shoulder,1977,4184,9955,348,743,1774,364,0,2881,1,0.91,0,0.72,1
Aizawl,Aizawl,23.73,92.72,Tier-Z,offpeak,789,3312,6357,267,644,1412,216,0,0,1,0.94,0,0.72,1
Agartala,West Tripura,23.83,91.28,Tier-Z,peak,1610,2627,5675,247,1171,1362,440,0,0,1,1.11,1,0.71,0
Agartala,West Tripura,23.83,91.28,Tier-Z,shoulder,1216,4715,6991,265,653,1692,326,0,0,1,0.87,1,0.73,0
Agartala,West Tripura,23.83,91.28,Tier-Z,offpeak,1307,2589,6099,247,749,1409,297,0,0,1,1.17,1,0.72,0
Gangtok,Gangtok,27.34,88.61,Tier-Z,peak,1378,3425,7362,261,1294,2456,315,0,0,1,1.18,1,0.71,0
Gangtok,Gangtok,27.34,88.61,Tier-Z,shoulder,2107,4635,9685,242,870,1384,238,0,0,1,1.08,1,0.72,0
Gangtok,Gangtok,27.34,88.61,Tier-Z,offpeak,1207,2720,3630,302,815,1326,188,0,0,1,1.23,1,0.73,0
Port Blair,South Andaman,11.62,92.73,Tier-Z,peak,2551,5549,14193,370,1366,1914,404,0,0,1,1.09,1,0.73,0
Port Blair,South Andaman,11.62,92.73,Tier-Z,shoulder,1446,4569,7434,380,650,1859,310,0,0,1,1.1,1,0.73,0
Port Blair,South Andaman,11.62,92.73,Tier-Z,offpeak,1189,2943,2805,352,713,1578,211,0,0,1,1.09,1,0.73,0
Daman,Daman,20.42,72.83,Tier-Z,peak,1737,5029,10510,414,1076,2354,387,0,0,1,0.87,1,0.73,0
Daman,Daman,20.42,72.83,Tier-Z,shoulder,1053,3244,7173,203,944,1803,350,0,0,1,1.11,1,0.71,0
Daman,Daman,20.42,72.83,Tier-Z,offpeak,1018,3166,3541,212,759,1170,268,0,0,1,1.05,1,0.71,0
Kavaratti,Lakshadweep,10.56,72.64,Rural,peak,801,4714,4932,185,726,1271,0,0,0,1,1.21,1,0.72,0
Kavaratti,Lakshadweep,10.56,72.64,Rural,shoulder,1103,3217,6238,243,630,978,0,0,0,1,1.09,1,0.72,0
Kavaratti,Lakshadweep,10.56,72.64,Rural,offpeak,663,1415,3061,163,627,901,0,0,0,1,1.01,1,0.72,0
Rameswaram,Ramanathapuram,9.28,79.31,Tier-Z,peak,1830,4434,7282,327,1183,1781,396,0,0,1,1.11,1,0.72,0
Rameswaram,Ramanathapuram,9.28,79.31,Tier-Z,shoulder,1216,4709,9807,215,1088,1866,240,0,0,1,1.11,1,0.71,0
Rameswaram,Ramanathapuram,9.28,79.31,Tier-Z,offpeak,1015,2119,6170,205,442,1520,249,0,0,1,0.9,1,0.72,0
Kanyakumari,Kanyakumari,8.08,77.54,Tier-Z,peak,2307,4032,10193,292,1344,1888,423,0,0,1,1.18,1,0.71,0
Kanyakumari,Kanyakumari,8.08,77.54,Tier-Z,shoulder,2022,5101,9834,316,1042,2278,334,0,0,1,1.21,1,0.73,0
Kanyakumari,Kanyakumari,8.08,77.54,Tier-Z,offpeak,1175,3236,5656,210,442,1202,382,0,0,1,1.15,1,0.71,0
Ooty,Nilgiris,11.4,76.69,Tier-Z,peak,2651,5949,17869,378,744,2854,380,0,0,1,0.98,1,0.71,0
Ooty,Nilgiris,11.4,76.69,Tier-Z,shoulder,1614,5355,6311,187,899,1892,331,0,0,1,1.18,1,0.71,0
Ooty,Nilgiris,11.4,76.69,Tier-Z,offpeak,1222,2055,4475,226,633,1542,218,0,0,1,1.04,1,0.73,0
